url,price_pcm,bedrooms,bathrooms,address,area,within_travel_time
https://www.rightmove.co.uk/properties/142664204#/?channel=RES_LET,"£2,700 pcm",3,2,"Corringham Court, Corringham Road, London NW11",840.0,unknown
https://www.rightmove.co.uk/properties/143157242#/?channel=RES_LET,"£2,700 pcm",2,2,"Westgate Street, London",824.0,True
https://www.rightmove.co.uk/properties/142750850#/?channel=RES_LET,"£2,700 pcm",2,2,"Palmers Road, Bethnal Green, London, E2",808.0,True
https://www.rightmove.co.uk/properties/143383061#/?channel=RES_LET,"£2,700 pcm",2,2,"Needleman Street, Canada Water",796.5,True
https://www.rightmove.co.uk/properties/143154632#/?channel=RES_LET,"£2,708 pcm",3,3,"Newington House, Colindale Gardens, Colindale NW9",1098.0,True
https://www.rightmove.co.uk/properties/142736270#/?channel=RES_LET,"£2,708 pcm",2,2,"New Providence Wharf, London E14",1052.0,True
https://www.rightmove.co.uk/properties/143329481#/?channel=RES_LET,"£2,708 pcm",2,2,"Station Road, Tottenham, N17",908.0,True
https://www.rightmove.co.uk/properties/143222648#/?channel=RES_LET,"£2,708 pcm",2,2,"Tempus Wharf, Shad Thames SE16",893.0,unknown
https://www.rightmove.co.uk/properties/143097929#/?channel=RES_LET,"£2,708 pcm",2,2,"Winchester Street, Pimlico, London, SW1V",868.0,True
https://www.rightmove.co.uk/properties/142297019#/?channel=RES_LET,"£2,708 pcm",2,2,"Boardwalk Place, Isle of Dogs, London, E14",842.0,True
https://www.rightmove.co.uk/properties/142743956#/?channel=RES_LET,"£2,747 pcm",2,2,"Westferry Circus, Canary Wharf",959.0,True
https://www.rightmove.co.uk/properties/142581935#/?channel=RES_LET,"£2,747 pcm",2,2,"Westferry Circus, Canary Wharf",959.0,True
https://www.rightmove.co.uk/properties/86666859#/?channel=RES_LET,"£2,747 pcm",2,2,"Fairmont Avenue, New Providence Wharf, London, E14",880.0,True
https://www.rightmove.co.uk/properties/143318162#/?channel=RES_LET,"£2,747 pcm",3,2,"69 Narrow Street, Limehouse, London",842.0,True
https://www.rightmove.co.uk/properties/141581591#/?channel=RES_LET,"£2,747 pcm",2,2,"Talisman Tower, 6 Lincoln Plaza, Canary Wharf, London, E14",823.0,True
https://www.rightmove.co.uk/properties/86526819#/?channel=RES_LET,"£2,747 pcm",2,2,"Emperors Gate, South Kensington, London, SW7",816.0,True
https://www.rightmove.co.uk/properties/142938782#/?channel=RES_LET,"£2,750 pcm",2,2,Bowling Green Place London SE1,8110.0,True
https://www.rightmove.co.uk/properties/143357906#/?channel=RES_LET,"£2,750 pcm",2,2,"Somerset Road, Wimbledon",1302.0,True
https://www.rightmove.co.uk/properties/143310350#/?channel=RES_LET,"£2,750 pcm",2,2,"Somerset Road, Wimbledon Village, London, SW19",1268.0,True
